nominative,inessive,type
hetkellinen,hetkellisessä,38
hetkinen,hetkisessä,38
hetkittäinen,hetkittäisessä,38
hetteinen,hetteisessä,38
hevonen,hevosessa,38
hidalgo,hidalgossa,2
hidas,hitaassa,41
hidaste,hidasteessa,48
hidasteinen,hidasteisessa,38
hidastelu,hidastelussa,2
hie,hieessä,48
hiekkahentunen,hiekkahentusessa,38
hiekkainen,hiekkaisessa,38
hienoinen,hienoisessa,38
hienostelu,hienostelussa,2
hienosto,hienostossa,2
hierarkkinen,hierarkkisessa,38
hierre,hierteessä,48
hiertämö,hiertämössä,2
hietainen,hietaisessa,38
hietikkoinen,hietikkoisessa,38
hihallinen,hihallisessa,38
hihkaisu,hihkaisussa,2
hiihtely,hiihtelyssä,2
hiilistö,hiilistössä,2
hiippailu,hiippailussa,2
hiirulainen,hiirulaisessa,38
hiivatinmoinen,hiivatinmoisessa,38
hiiviskely,hiiviskelyssä,2
hikinen,hikisessä,38
hikoilu,hikoilussa,2
hile,hileessä,48
hiljainen,hiljaisessa,38
hilloke,hillokkeessa,48
hilse,hilseessä,48
hilseily,hilseilyssä,2
hilseinen,hilseisessä,38
-himoinen,-himoisessa,38
himokas,himokkaassa,41
hindulainen,hindulaisessa,38
hinkalo,hinkalossa,2
hinnakas,hinnakkaassa,41
hinnasto,hinnastossa,2
hinnoittelu,hinnoittelussa,2
hintainen,hintaisessa,38
hioke,hiokkeessa,48
hiomakangas,hiomakankaassa,41
hiomo,hiomossa,2
hipaisu,hipaisussa,2
hippiäinen,hippiäisessä,38
hipsuttelu,hipsuttelussa,2
hirmuinen,hirmuisessa,38
hirsinen,hirsisessä,38
hirtehinen,hirtehisessä,38
hirvas,hirvaassa,41
hissuttelu,hissuttelussa,2
histologinen,histologisessa,38
historiallinen,historiallisessa,38
hitonmoinen,hitonmoisessa,38
hitsaamo,hitsaamossa,2
hitunen,hitusessa,38
hiue,hiukeessa,48
hiukkanen,hiukkasessa,38
hiuksenhalkominen,hiuksenhalkomisessa,38
hiustenhalkominen,hiustenhalkomisessa,38
hiutale,hiutaleessa,48
hiutaleinen,hiutaleisessa,38
hoennainen,hoennaisessa,38
hohde,hohteessa,48
hohdokas,hohdokkaassa,41
hohkainen,hohkaisessa,38
hohteinen,hohteisessa,38
hohtoinen,hohtoisessa,38
hoide,hoiteessa,48
hoidollinen,hoidollisessa,38
hoipertelu,hoipertelussa,2
hoitelu,hoitelussa,2
hoksaavainen,hoksaavaisessa,38
holistinen,holistisessa,38
hollannikas,hollannikkaassa,41
hollantilainen,hollantilaisessa,38
holvisto,holvistossa,2
home,homeessa,48
homeerinen,homeerisessa,38
homeinen,homeisessa,38
homeopaattinen,homeopaattisessa,38
homeostaattinen,homeostaattisessa,38
homogeeninen,homogeenisessa,38
homotsygoottinen,homotsygoottisessa,38
homssuinen,homssuisessa,38
hongisto,hongistossa,2
honkainen,honkaisessa,38
hontelo,hontelossa,2
hopeahapsinen,hopeahapsisessa,38
hopeainen,hopeaisessa,38
hopeinen,hopeisessa,38
hoppuilu,hoppuilussa,2
horisontaalinen,horisontaalisessa,38
horjahtelu,horjahtelussa,2
horjuvainen,horjuvaisessa,38
hormonaalinen,hormonaalisessa,38
horre,horteessa,48
horteinen,horteisessa,38
hortoilu,hortoilussa,2
hotaisu,hotaisussa,2
hotkaisu,hotkaisussa,2
houkkamainen,houkkamaisessa,38
houkute,houkutteessa,48
houkuttelu,houkuttelussa,2
hourailu,hourailussa,2
houre,houreessa,48
houreinen,houreisessa,38
housukangas,housukankaassa,41
huhuilu,huhuilussa,2
huikentelevainen,huikentelevaisessa,38
huikentelu,huikentelussa,2
huilumainen,huilumaisessa,38
-huippuinen,-huippuisessa,38
huiskale,huiskaleessa,48
huiske,huiskeessa,48
huiskilo,huiskilossa,2
huljuttelu,huljuttelussa,2
hullunkurinen,hullunkurisessa,38
hulluttelu,hulluttelussa,2
hulmahtelu,hulmahtelussa,2
hulpilo,hulpilossa,2
hulttiomainen,hulttiomaisessa,38
humaaninen,humaanisessa,38
humalainen,humalaisessa,38
humalikas,humalikkaassa,41
humanistinen,humanistisessa,38
humanitaarinen,humanitaarisessa,38
humanitäärinen,humanitäärisessä,38
hummailu,hummailussa,2
humoristinen,humoristisessa,38
hunajainen,hunajaisessa,38
huoahtelu,huoahtelussa,2
huojahtelu,huojahtelussa,2
huokailu,huokailussa,2
huokoinen,huokoisessa,38
huokonen,huokosessa,38
huolehtivainen,huolehtivaisessa,38
huolekas,huolekkaassa,41
huolellinen,huolellisessa,38
huolittelu,huolittelussa,2
huoltamo,huoltamossa,2
huomaavainen,huomaavaisessa,38
huominen,huomisessa,38
huone,huoneessa,48
huoneisto,huoneistossa,2
huonekalukangas,huonekalukankaassa,41
huoneke,huonekkeessa,48
huopainen,huopaisessa,38
huopakangas,huopakankaassa,41
huopikas,huopikkaassa,41
huovikas,huovikkaassa,41
hupailu,hupailussa,2
hupainen,hupaisessa,38
hupsuttelu,hupsuttelussa,2
hupullinen,hupullisessa,38
hurjastelu,hurjastelussa,2
hurme,hurmeessa,48
hurmeinen,hurmeisessa,38
hurskas,hurskaassa,41
hurskastelu,hurskastelussa,2
hurvittelu,hurvittelussa,2
hutera,huterassa,11
huuhde,huuhteessa,48
huuhtaisu,huuhtaisussa,2
huuhtelu,huuhtelussa,2
huuleilu,huuleilussa,2
huume,huumeessa,48
huurre,huurteessa,48
huurteinen,huurteisessa,38
huuruinen,huuruisessa,38
huutelu,huutelussa,2
huutolainen,huutolaisessa,38
huvittelu,huvittelussa,2
hydraulinen,hydraulisessa,38
hydrologinen,hydrologisessa,38
hygieeninen,hygieenisessä,38
hyhmäinen,hyhmäisessä,38
hyinen,hyisessä,38
hylje,hylkeessä,48
hyllyllinen,hyllyllisessä,38
hymistely,hymistelyssä,2
hymyily,hymyilyssä,2
hyntteet,—,48
hyperbolinen,hyperbolisessa,38
hypistely,hypistelyssä,2
hypnoottinen,hypnoottisessa,38
hypotaktinen,hypotaktisessa,38
hypoteettinen,hypoteettisessa,38
hyppely,hyppelyssä,2
hyppysellinen,hyppysellisessä,38
hyppäyksellinen,hyppäyksellisessä,38
hyppäyksittäinen,hyppäyksittäisessä,38
hyrske,hyrskeessä,48
hyrskyinen,hyrskyisessä,38
hyräily,hyräilyssä,2
hyssyttely,hyssyttelyssä,2
hysteerinen,hysteerisessa,38
hyttynen,hyttysessä,38
hyve,hyveessä,48
hyveellinen,hyveellisessä,38
hyvike,hyvikkeessä,48
hyvite,hyvitteessä,48
hyvittely,hyvittelyssä,2
hyväily,hyväilyssä,2
hyväkäs,hyväkkäässä,41
hyvästely,hyvästelyssä,2
hyyde,hyyteessä,48
hyydyke,hyydykkeessä,48
hyydyte,hyydytteessä,48
hyytelö,hyytelössä,2
hyödyke,hyödykkeessä,48
hyödykäs,hyödykkäässä,41
hyödyllinen,hyödyllisessä,38
hyökkäily,hyökkäilyssä,2
hyökkäyksellinen,hyökkäyksellisessä,38
hyönteinen,hyönteisessä,38
häikäisy,häikäisyssä,2
häilyväinen,häilyväisessä,38
häive,häiveessä,48
hämillinen,hämillisessä,38
hämmästely,hämmästelyssä,2
hämyinen,hämyisessä,38
hämäläinen,hämäläisessä,38
hänenlaisensa,hänenlaisessaan,38
hännystely,hännystelyssä,2
hännällinen,hännällisessä,38
häpeällinen,häpeällisessä,38
häpäisy,häpäisyssä,2
härme,härmeessä,48
härmäinen,härmäisessä,38
härmäläinen,härmäläisessä,38
hätäily,hätäilyssä,2
hätäinen,hätäisessä,38
häveliäs,häveliäässä,41
hävite,hävitteessä,48
häälyväinen,häälyväisessä,38
hääppöinen,hääppöisessä,38
hääräily,hääräilyssä,2
hölmöläinen,hölmöläisessä,38
höperö,höperössä,2
hörhelö,hörhelössä,2
hötkyily,hötkyilyssä,2
höyde,höyteessä,48
höyheninen,höyhenisessä,38
höyläämö,höyläämössä,2
höyryinen,höyryisessä,38
höyste,höysteessä,48
höytyinen,höytyisessä,38
höytäle,höytäleessä,48
iankaikkinen,iankaikkisessa,38
ideaalinen,ideaalisessa,38
idealistinen,idealistisessa,38
identtinen,identtisessä,38
ideologinen,ideologisessa,38
idioottimainen,idioottimaisessa,38
idyllinen,idyllisessä,38
ies,ikeessä,41
ihailu,ihailussa,2
ihanne,ihanteessa,48
ihanteellinen,ihanteellisessa,38
ihastelu,ihastelussa,2
ihme,ihmeessä,48
ihmeellinen,ihmeellisessä,38
ihmettely,ihmettelyssä,2
ihminen,ihmisessä,38
ihmismäinen,ihmismäisessä,38
-ihoinen,-ihoisessa,38
ihokas,ihokkaassa,41
iiliäinen,iiliäisessä,38
iiriläinen,iiriläisessä,38
-ikkunainen,-ikkunaisessa,38
ikkunallinen,ikkunallisessa,38
ikoninen,ikonisessa,38
ikuinen,ikuisessa,38
ikäinen,ikäisessä,38
ikäjohtaminen,ikäjohtamisessa,38
iljankoinen,iljankoisessa,38
iljanne,iljanteessa,48
iljanteinen,iljanteisessa,38
ilkeily,ilkeilyssä,2
ilkikurinen,ilkikurisessa,38
illallinen,illallisessa,38
illatsut,—,2
illusorinen,illusorisessa,38
ilmailu,ilmailussa,2
ilmainen,ilmaisessa,38
ilmaisu,ilmaisussa,2
ilmaisullinen,ilmaisullisessa,38
ilmaste,ilmasteessa,48
ilmasto,ilmastossa,2
ilmastollinen,ilmastollisessa,38
ilme,ilmeessä,48
ilmeikäs,ilmeikkäässä,41
ilmeily,ilmeilyssä,2
ilmeinen,ilmeisessä,38
ilmeinen,ilmeisessä,38
ilmiömäinen,ilmiömäisessä,38
ilmoittelu,ilmoittelussa,2
iloinen,iloisessa,38
ilottelu,ilottelussa,2
iltainen,iltaisessa,38
iltanen,iltasessa,38
ilve,ilveessä,48
ilveily,ilveilyssä,2
imaginaarinen,imaginaarisessa,38
imago,imagossa,2
imaisu,imaisussa,2
imarre,imarteessa,48
imartelu,imartelussa,2
imelle,imelteessä,48
imettäväinen,imettäväisessä,38
imeväinen,imeväisessä,38
immateriaalinen,immateriaalisessa,38
immunologinen,immunologisessa,38
imperialistinen,imperialistisessa,38
impivaaralainen,impivaaralaisessa,38
implisiittinen,implisiittisessä,38
impressionistinen,impressionistisessa,38
improvisatorinen,improvisatorisessa,38
impulsiivinen,impulsiivisessa,38
imuke,imukkeessa,48
indefiniittinen,indefiniittisessä,38
indigo,indigossa,2
individuaalinen,individuaalisessa,38
individualistinen,individualistisessa,38
indoiranilainen,indoiranilaisessa,38
induktiivinen,induktiivisessa,38
industrialistinen,industrialistisessa,38
infernaalinen,infernaalisessa,38
inflatorinen,inflatorisessa,38
informalistinen,informalistisessa,38
informatiivinen,informatiivisessa,38
informatorinen,informatorisessa,38
inhibitorinen,inhibitorisessa,38
inhimillinen,inhimillisessä,38
inkeriläinen,inkeriläisessä,38
inkeroinen,inkeroisessa,38
innoite,innoitteessa,48
innokas,innokkaassa,41
innovatiivinen,innovatiivisessa,38
institutionaalinen,institutionaalisessa,38
instrumentaalinen,instrumentaalisessa,38
intellektuaalinen,intellektuaalisessa,38
intellektualistinen,intellektualistisessa,38
intensiivinen,intensiivisessä,38
interrogatiivinen,interrogatiivisessa,38
intertekstuaalinen,intertekstuaalisessa,38
intialainen,intialaisessa,38
intohimoinen,intohimoisessa,38
intoilu,intoilussa,2
intransitiivinen,intransitiivisessa,38
intuitiivinen,intuitiivisessa,38
irlantilainen,irlantilaisessa,38
ironinen,ironisessa,38
irrallinen,irrallisessa,38
irrationaalinen,irrationaalisessa,38
irreaalinen,irreaalisessa,38
irstailu,irstailussa,2
irstainen,irstaisessa,38
irstas,irstaassa,41
irtolainen,irtolaisessa,38
irtonainen,irtonaisessa,38
irvailu,irvailussa,2
irvistely,irvistelyssä,2
irvokas,irvokkaassa,41
iskullinen,iskullisessa,38
islamilainen,islamilaisessa,38
islamistinen,islamistisessa,38
islantilainen,islantilaisessa,38
isoinen,isoisessa,38
isometrinen,isometrisessä,38
isottelu,isottelussa,2
israelilainen,israelilaisessa,38
istukallinen,istukallisessa,38
istukas,istukkaassa,41
istute,istutteessa,48
isällinen,isällisessä,38
italialainen,italialaisessa,38
itara,itarassa,11
itkeskely,itkeskelyssä,2
itkuinen,itkuisessa,38
itsekäs,itsekkäässä,41
itsellinen,itsellisessä,38
itsensäpaljastaminen,itsensäpaljastamisessa,38
itsenäinen,itsenäisessä,38
itseriittoinen,itseriittoisessa,38
itsesyttyminen,itsesyttymisessä,38
itsetuhoinen,itsetuhoisessa,38
itäinen,itäisessä,38
itävaltalainen,itävaltalaisessa,38
ivailu,ivailussa,2
ivallinen,ivallisessa,38
iäinen,iäisessä,38
iäkäs,iäkkäässä,41
jaarittelu,jaarittelussa,2
jae,jakeessa,48
jahkailu,jahkailussa,2
jakamo,jakamossa,2
jakardikangas,jakardikankaassa,41
jakelu,jakelussa,2
-jakoinen,-jakoisessa,38
-jaksoinen,-jaksoisessa,38
jaksoittainen,jaksoittaisessa,38
jaksollinen,jaksollisessa,38
jalake,jalakkeessa,48
jalallinen,jalallisessa,38
-jalkainen,-jalkaisessa,38
jalkine,jalkineessa,48
jaloittelu,jaloittelussa,2
jalostamo,jalostamossa,2
jaloste,jalosteessa,48
janoinen,janoisessa,38
jaoke,jaokkeessa,48
jaokkeinen,jaokkeisessa,38
jaollinen,jaollisessa,38
jaosto,jaostossa,2
jaottelu,jaottelussa,2
japanilainen,japanilaisessa,38
jasmike,jasmikkeessa,48
jatke,jatkeessa,48
jatkumo,jatkumossa,2
jatkuvajuoninen,jatkuvajuonisessa,38
jauhe,jauheessa,48
jauhemainen,jauhemaisessa,38
jauhiainen,jauhiaisessa,38
jauhoinen,jauhoisessa,38
jauhomainen,jauhomaisessa,38
jeesustelu,jeesustelussa,2
jellona,jellonassa,11
jengiläinen,jengiläisessä,38
jenkkiläinen,jenkkiläisessä,38
jesuiittamainen,jesuiittamaisessa,38
jippoilu,jippoilussa,2
johdannainen,johdannaisessa,38
johdate,johdatteessa,48
johde,johteessa,48
johteinen,johteisessa,38
-johtoinen,-johtoisessa,38
jojolaihduttaminen,jojolaihduttamisessa,38
jokainen,jokaisessa,38
jokunen,jokusessa,38
jollainen,jollaisessa,38
joltinen,joltisessa,38
joltinenkin,joltisessakin,38
jommoinen,jommoisessa,38
jommoinenkin,jommoisessakin,38
jonkalainen,jonkalaisessa,38
jonkinlainen,jonkinlaisessa,38
jonkinmoinen,jonkinmoisessa,38
jonkunlainen,jonkunlaisessa,38
jonkunmoinen,jonkunmoisessa,38
joonialainen,joonialaisessa,38
jossittelu,jossittelussa,2
jouhikangas,jouhikankaassa,41
joukkoeroaminen,joukkoeroamisessa,38
joukkoerottaminen,joukkoerottamisessa,38
joukkoesiintyminen,joukkoesiintymisessä,38
joukkoirtisanominen,joukkoirtisanomisessa,38
joukkoirtisanoutuminen,joukkoirtisanoutumisessa,38
joukkue,joukkueessa,48
-joukkueinen,-joukkueisessa,38
jouluinen,jouluisessa,38
joulukiire,joulukiireessä,48
journalistinen,journalistisessa,38
-jousinen,-jousisessa,38
jousisto,jousistossa,2
joustokangas,joustokankaassa,41
joustokankainen,joustokankaisessa,38
joutilas,joutilaassa,41
judoka,judokassa,11
jugoslavialainen,jugoslavialaisessa,38
juhlallinen,juhlallisessa,38
juliaaninen,juliaanisessa,38
juliste,julisteessa,48
julistekangas,julistekankaassa,41
julkaisu,julkaisussa,2
julkimo,julkimossa,2
julkinen,julkisessa,38
jumalainen,jumalaisessa,38
jumalallinen,jumalallisessa,38
jumalankieltäminen,jumalankieltämisessä,38
jumalinen,jumalisessa,38
juoksete,juoksetteessa,48
-juoksuinen,-juoksuisessa,38
juoksute,juoksutteessa,48
juominen,juomisessa,38
juomuinen,juomuisessa,38
juonellinen,juonellisessa,38
juonikas,juonikkaassa,41
juonittelu,juonittelussa,2
juonne,juonteessa,48
juonteikas,juonteikkaassa,41
juopottelu,juopottelussa,2
juoruilu,juoruilussa,2
juoste,juosteessa,48
juote,juotteessa,48
juotikas,juotikkaassa,41
juovainen,juovaisessa,38
juovikas,juovikkaassa,41
juridinen,juridisessa,38
juttelu,juttelussa,2
jutustelu,jutustelussa,2
juurakkoinen,juurakkoisessa,38
juurekas,juurekkaassa,41
juurikas,juurikkaassa,41
-juurinen,-juurisessa,38
juuristo,juuristossa,2
juutalainen,juutalaisessa,38
juutas,juuttaassa,41
juuttikangas,juuttikankaassa,41
jyrkänne,jyrkänteessä,48
jyrähtely,jyrähtelyssä,2
jyske,jyskeessä,48
jytke,jytkeessä,48
jyväinen,jyväisessä,38
jyvänen,jyväsessä,38
jäinen,jäisessä,38
jäkäläinen,jäkäläisessä,38
jäkäläkangas,jäkäläkankaassa,41
jäljenne,jäljenteessä,48
jäljentämö,jäljentämössä,2
jäljittely,jäljittelyssä,2
jälkeinen,jälkeisessä,38
jälkeläinen,jälkeläisessä,38
jälkijättöinen,jälkijättöisessä,38
jälkimmäinen,jälkimmäisessä,38
jälleennäkeminen,jälleennäkemisessä,38
jälleensyntyminen,jälleensyntymisessä,38
jänkäsirriäinen,jänkäsirriäisessä,38
jänne,jänteessä,48
jännite,jännitteessä,48
jännitteinen,jännitteisessä,38
jänteikäs,jänteikkäässä,41
jänteinen,jänteisessä,38
jäntere,jäntereessä,48
jänönen,jänösessä,38
järjellinen,järjellisessä,38
järjestelmällinen,järjestelmällisessä,38
järjestely,järjestelyssä,2
järjestö,järjestössä,2
järjestöllinen,järjestöllisessä,38
järkeily,järkeilyssä,2
-järkinen,-järkisessä,38
järkäle,järkäleessä,48
-järvinen,-järvisessä,38
järähtely,järähtelyssä,2
-jäseninen,-jäsenisessä,38
jäsentely,jäsentelyssä,2
jäte,jätteessä,48
jättiläinen,jättiläisessä,38
jättiläismäinen,jättiläismäisessä,38
jättimäinen,jättimäisessä,38
jäykiste,jäykisteessä,48
jäykistely,jäykistelyssä,2
jäädyke,jäädykkeessä,48
jäädyttämö,jäädyttämössä,2
jäähdyke,jäähdykkeessä,48
jäähdyte,jäähdytteessä,48
-jäähdytteinen,-jäähdytteisessä,38
jäähdyttely,jäähdyttelyssä,2
jäähdyttämö,jäähdyttämössä,2
jäähyväiset,—,38
jääkiekkoilu,jääkiekkoilussa,2
jäämistö,jäämistössä,2
jäänne,jäänteessä,48
jäätelö,jäätelössä,2
jäätikköinen,jäätikköisessä,38
kaade,kaateessa,48
kaahailu,kaahailussa,2
kaakkoinen,kaakkoisessa,38
kaaoksellinen,kaaoksellisessa,38
kaaosmainen,kaaosmaisessa,38
kaapisto,kaapistossa,2
kaareke,kaarekkeessa,48
kaarne,kaarneessa,48
kaarre,kaarteessa,48
kaarroke,kaarrokkeessa,48
kaarteinen,kaarteisessa,38
kaartelu,kaartelussa,2
kaartilainen,kaartilaisessa,38
kaasumainen,kaasumaisessa,38
kaasute,kaasutteessa,48
kaavailu,kaavailussa,2
kaavake,kaavakkeessa,48
kaavamainen,kaavamaisessa,38
kade,kateessa,48
kahdeksainen,kahdeksaisessa,38
kahdenlainen,kahdenlaisessa,38
kahlaamo,kahlaamossa,2
kahle,kahleessa,48
kahmaisu,kahmaisussa,2
kahmalo,kahmalossa,2
kahmalollinen,kahmalollisessa,38
kahtaistaittuminen,kahtaistaittumisessa,38
kahtalainen,kahtalaisessa,38
kahvinselvike,kahvinselvikkeessä,48
kahvittelu,kahvittelussa,2
kaide,kaiteessa,48
kaikenlainen,kaikenlaisessa,38
kaikenmoinen,kaikenmoisessa,38
kaikkinainen,kaikkinaisessa,38
kainalo,kainalossa,2
kainostelu,kainostelussa,2
kainulainen,kainulaisessa,38
kainuulainen,kainuulaisessa,38
kaislikkoinen,kaislikkoisessa,38
kaislisto,kaislistossa,2
kaistale,kaistaleessa,48
kaitainen,kaitaisessa,38
kaitale,kaitaleessa,48
kaivannainen,kaivannaisessa,38
kaiverre,kaiverteessa,48
kajahtelu,kajahtelussa,2
kaje,kajeessa,48
kajuutallinen,kajuutallisessa,38
kakadu,kakadussa,2
kakaramainen,kakaramaisessa,38
kakistelu,kakistelussa,2
kakkainen,kakkaisessa,38
kakkonen,kakkosessa,38
kakofoninen,kakofonisessa,38
kaksikotinen,kaksikotisessa,38
kaksikäsitteinen,kaksikäsitteisessä,38
kaksilappeinen,kaksilappeisessa,38
kaksilevyinen,kaksilevyisessä,38
kaksiminuuttinen,kaksiminuuttisessa,38
kaksinainen,kaksinaisessa,38
kaksinen,kaksisessa,38
kaksinnaiminen,kaksinnaimisessa,38
kaksonen,kaksosessa,38
kalainen,kalaisessa,38
kalanruotokangas,kalanruotokankaassa,41
kalastelu,kalastelussa,2
kalasto,kalastossa,2
kale,kaleessa,48
kalendaarinen,kalendaarisessa,38
kalevalainen,kalevalaisessa,38
kalke,kalkkeessa,48
kalkuttelu,kalkuttelussa,2
kallas,kaltaassa,41
kallioinen,kallioisessa,38
kallis,kalliissa,41
kallistelu,kallistelussa,2
kallistuvakorinen,kallistuvakorisessa,38
kallollinen,kallollisessa,38
kalmisto,kalmistossa,2
kalske,kalskeessa,48
kaltainen,kaltaisessa,38
kaluste,kalusteessa,48
kalvas,kalvaassa,41
kalvinilainen,kalvinilaisessa,38
kalvinistinen,kalvinistisessa,38
kambrinen,kambrisessa,38
kameraalinen,kameraalisessa,38
kampaamo,kampaamossa,2
kampalankakangas,kampalankakankaassa,41
kampe,kamppeessa,48
kamppailu,kamppailussa,2
kamppiaiset,—,38
kanadalainen,kanadalaisessa,38
kanamainen,kanamaisessa,38
kanavakangas,kanavakankaassa,41
kangas,kankaassa,41
kangas,kankaassa,41
kangertelu,kangertelussa,2
kankainen,kankaisessa,38
kankainen,kankaisessa,38
kankare,kankareessa,48
kankkunen,kankkusessa,38
kannakselainen,kannakselaisessa,38
kannallinen,kannallisessa,38
kannate,kannatteessa,48
kanne,kanteessa,48
kannellinen,kannellisessa,38
kannibaalinen,kannibaalisessa,38
kannike,kannikkeessa,48
kannokkoinen,kannokkoisessa,38
kannullinen,kannullisessa,38
kannuste,kannusteessa,48
kanoninen,kanonisessa,38
kansalainen,kansalaisessa,38
kansallinen,kansallisessa,38
kanssakäyminen,kanssakäymisessä,38
-kantainen,-kantaisessa,38
kantamuksellinen,kantamuksellisessa,38
kantelu,kantelussa,2
kantoinen,kantoisessa,38
kantoinen,kantoisessa,38
kaoottinen,kaoottisessa,38
kapallinen,kapallisessa,38
kapalo,kapalossa,2
kapeikkoinen,kapeikkoisessa,38
kapiainen,kapiaisessa,38
kapillaarinen,kapillaarisessa,38
kapinallinen,kapinallisessa,38
kapine,kapineessa,48
kapinen,kapisessa,38
kapitalistinen,kapitalistisessa,38
kaplas,kaplaassa,41
kapoinen,kapoisessa,38
kappalainen,kappalaisessa,38
kappale,kappaleessa,48
kappaleittainen,kappaleittaisessa,38
kapsahtelu,kapsahtelussa,2
kapse,kapseessa,48
karaisu,karaisussa,2
karakteristinen,karakteristisessa,38
kardaaninen,kardaanisessa,38
kardiologinen,kardiologisessa,38
kare,kareessa,48
kareilu,kareilussa,2
karhe,karheessa,48
karhenne,karhenteessa,48
karhiainen,karhiaisessa,38
karhukainen,karhukaisessa,38
karhumainen,karhumaisessa,38
karike,karikkeessa,48
karikkoinen,karikkoisessa,38
karinen,karisessa,38
karioottinen,karioottisessa,38
karismaattinen,karismaattisessa,38
kariste,karisteessa,48
karistelu,karistelussa,2
karjaisu,karjaisussa,2
karjalainen,karjalaisessa,38
karkailu,karkailussa,2
karkaisu,karkaisussa,2
karkeistae,karkeistakeessa,48
karkelo,karkelossa,2
karkote,karkotteessa,48
karkulainen,karkulaisessa,38
karoliininen,karoliinisessä,38
karolinginen,karolingisessa,38
karpalo,karpalossa,2
karsas,karsaassa,41
karsinogeeninen,karsinogeenisessa,38
karstaamo,karstaamossa,2
karstainen,karstaisessa,38
karstalankakangas,karstalankakankaassa,41
kartano,kartanossa,2
kartasto,kartastossa,2
kartiokas,kartiokkaassa,41
kartografinen,kartografisessa,38
karttelu,karttelussa,2
karukkokangas,karukkokankaassa,41
karvainen,karvaisessa,38
karvallinen,karvallisessa,38
karvas,karvaassa,41
karvastelu,karvastelussa,2
karvasto,karvastossa,2
karve,karpeessa,48
karviainen,karviaisessa,38
kasiainen,kasiaisessa,38
kasino,kasinossa,2
kaskas,kaskaassa,41
kastajaiset,–,38
kaste,kasteessa,48
kasteinen,kasteisessa,38
kastelu,kastelussa,2
kastikas,kastikkaassa,41
kastike,kastikkeessa,48
kasuistinen,kasuistisessa,38
kasvannainen,kasvannaisessa,38
kasvattamo,kasvattamossa,2
kasvatuksellinen,kasvatuksellisessa,38
kasvisto,kasvistossa,2
-kasvuinen,-kasvuisessa,38
kasvullinen,kasvullisessa,38
kasvusto,kasvustossa,2
katajainen,katajaisessa,38
katalyyttinen,katalyyttisessä,38
katastrofaalinen,katastrofaalisessa,38
kate,katteessa,48
kateellinen,kateellisessa,38
kategorinen,kategorisessa,38
katkaisu,katkaisussa,2
katkelmallinen,katkelmallisessa,38
katkero,katkerossa,2
katkonainen,katkonaisessa,38
katkuinen,katkuisessa,38
katoavainen,katoavaisessa,38
katoksellinen,katoksellisessa,38
katolilainen,katolilaisessa,38
katolinen,katolisessa,38
katollinen,katollisessa,38
katras,katraassa,41
katse,katseessa,48
katselu,katselussa,2
katsojaiset,—,38
katsomo,katsomossa,2
katteinen,katteisessa,38
kattilallinen,kattilallisessa,38
katuvainen,katuvaisessa,38
katve,katveessa,48
kauaskantoinen,kauaskantoisessa,38
kauhallinen,kauhallisessa,38
kauimmainen,kauimmaisessa,38
kaukainen,kaukaisessa,38
kaukalo,kaukalossa,2
kaukasialainen,kaukasialaisessa,38
kaukokantoinen,kaukokantoisessa,38
kaukokulkeutuminen,kaukokulkeutumisessa,38
kaulailu,kaulailussa,2
-kaulainen,-kaulaisessa,38
kaunainen,kaunaisessa,38
kauneudellinen,kauneudellisessa,38
kaunis,kauniissa,41
kauniste,kaunisteessa,48
kaunistelu,kaunistelussa,2
kaunoinen,kaunoisessa,38
kaunokainen,kaunokaisessa,38
kaupallinen,kaupallisessa,38
kaupittelu,kaupittelussa,2
kauppias,kauppiaassa,41
kaupunkilainen,kaupunkilaisessa,38
kaupunkimainen,kaupunkimaisessa,38
kaupustelu,kaupustelussa,2
kauris,kauriissa,41
kausaalinen,kausaalisessa,38
kausittainen,kausittaisessa,38
kaustinen,kaustisessa,38
kauttaaltainen,kauttaaltaisessa,38
kehaisu,kehaisussa,2
kehite,kehitteessä,48
kehittely,kehittelyssä,2
kehollinen,kehollisessa,38
kehräämö,kehräämössä,2
kehuskelu,kehuskelussa,2
kehyksellinen,kehyksellisessä,38
kehyste,kehysteessä,48
kehystämö,kehystämössä,2
keidas,keitaassa,41
keihäs,keihäässä,41
keihäsmäinen,keihäsmäisessä,38
keijukainen,keijukaisessa,38
keijusto,keijustossa,2
keikailu,keikailussa,2
keikistely,keikistelyssä,2
keikkailu,keikkailussa,2
keikuttelu,keikuttelussa,2
keilailu,keilailussa,2
keimailu,keimailussa,2
keinollinen,keinollisessa,38
keinottelu,keinottelussa,2
keisarillinen,keisarillisessa,38
keittimö,keittimössä,2
keittämö,keittämössä,2
kekkale,kekkaleessa,48
kekseliäs,kekseliäässä,41
kekäle,kekäleessä,48
kelirikkoinen,kelirikkoisessa,38
keljuilu,keljuilussa,2
keljumainen,keljumaisessa,38
kelkkailu,kelkkailussa,2
kellokas,kellokkaassa,41
kellomainen,kellomaisessa,38
kelluke,kellukkeessa,48
kellute,kellutteessa,48
kelpoinen,kelpoisessa,38
keltainen,keltaisessa,38
keltamo,keltamossa,2
keltano,keltanossa,2
keltiäinen,keltiäisessä,38
kelttiläinen,kelttiläisessä,38
keltuainen,keltuaisessa,38
kelvokas,kelvokkaassa,41
kelvollinen,kelvollisessa,38
kemiallinen,kemiallisessa,38
