nominative,inessive,type
astmaattinen,astmaattisessa,38
astmainen,astmaisessa,38
astraalinen,astraalisessa,38
astrologinen,astrologisessa,38
astronominen,astronomisessa,38
asukas,asukkaassa,41
asuntosäästäminen,asuntosäästämisessä,38
asuste,asusteessa,48
asvalttinen,asvalttisessa,38
asymmetrinen,asymmetrisessä,38
atavistinen,atavistisessa,38
ateistinen,ateistisessa,38
atlanttinen,atlanttisessa,38
atleettinen,atleettisessa,38
atomaarinen,atomaarisessa,38
atomistinen,atomistisessa,38
atonaalinen,atonaalisessa,38
atooppinen,atooppisessa,38
attraktiivinen,attraktiivisessa,38
auditiivinen,auditiivisessa,38
aukaisu,aukaisussa,2
aukile,aukileessa,48
aukinainen,aukinaisessa,38
aukkoinen,aukkoisessa,38
auktoritaarinen,auktoritaarisessa,38
auktoritatiivinen,auktoritatiivisessa,38
aulis,auliissa,41
aurinkoinen,aurinkoisessa,38
australialainen,australialaisessa,38
autenttinen,autenttisessa,38
autereinen,autereisessa,38
autistinen,autistisessa,38
autoilu,autoilussa,2
autokefaalinen,autokefaalisessa,38
automaattinen,automaattisessa,38
autonominen,autonomisessa,38
autoritaarinen,autoritaarisessa,38
autoritäärinen,autoritäärisessä,38
auttavainen,auttavaisessa,38
autuaallinen,autuaallisessa,38
autuas,autuaassa,41
auvoinen,auvoisessa,38
avajaiset,–,38
avanne,avanteessa,48
avantgardistinen,avantgardistisessa,38
avaruudellinen,avaruudellisessa,38
-avioinen,-avioisessa,38
aviollinen,aviollisessa,38
avokas,avokkaassa,41
avonainen,avonaisessa,38
avulias,avuliaassa,41
avuste,avusteessa,48
-avusteinen,-avusteisessa,38
azerbaidžanilainen,azerbaidžanilaisessa,38
babylonialainen,babylonialaisessa,38
bakteriologinen,bakteriologisessa,38
ballistinen,ballistisessa,38
balttilainen,balttilaisessa,38
barbaarimainen,barbaarimaisessa,38
barbaarinen,barbaarisessa,38
baskilainen,baskilaisessa,38
batistinen,batistisessa,38
behavioristinen,behavioristisessa,38
bernhardilainen,bernhardilaisessa,38
betoninen,betonisessa,38
bibliografinen,bibliografisessa,38
bigaaminen,bigaamisessa,38
bilateraalinen,bilateraalisessa,38
binaarinen,binaarisessa,38
binäärinen,binäärisessä,38
biodynaaminen,biodynaamisessa,38
biogeeninen,biogeenisessa,38
biografinen,biografisessa,38
biologinen,biologisessa,38
biometrinen,biometrisessä,38
bolero,bolerossa,2
bolsevistinen,bolsevistisessa,38
bolševistinen,bolševistisessa,38
bosniahertsegovinalainen,bosniahertsegovinalaisessa,38
botaaninen,botaanisessa,38
brahmalainen,brahmalaisessa,38
brežneviläinen,brežneviläisessä,38
brittiläinen,brittiläisessä,38
brodyyrikangas,brodyyrikankaassa,41
buddhalainen,buddhalaisessa,38
bulgarialainen,bulgarialaisessa,38
byrokraattinen,byrokraattisessa,38
bysanttilainen,bysanttilaisessa,38
calypso,calypsossa,2
cembalo,cembalossa,2
charmikas,charmikkaassa,41
dadaistinen,dadaistisessa,38
darvinistinen,darvinistisessa,38
deduktiivinen,deduktiivisessa,38
defensiivinen,defensiivisessä,38
definiittinen,definiittisessä,38
definitiivinen,definitiivisessä,38
deistinen,deistisessä,38
dekoratiivinen,dekoratiivisessa,38
demagoginen,demagogisessa,38
deminutiivinen,deminutiivisessa,38
demografinen,demografisessa,38
demokraattinen,demokraattisessa,38
demoninen,demonisessa,38
demonstratiivinen,demonstratiivisessa,38
depressiivinen,depressiivisessä,38
dermatologinen,dermatologisessa,38
desimaalinen,desimaalisessa,38
deskriptiivinen,deskriptiivisessä,38
despoottinen,despoottisessa,38
deterministinen,deterministisessä,38
diagnostinen,diagnostisessa,38
diakoninen,diakonisessa,38
dialektinen,dialektisessa,38
diastolinen,diastolisessa,38
diatoninen,diatonisessa,38
didaktinen,didaktisessa,38
digitaalinen,digitaalisessa,38
diivailu,diivailussa,2
diktatorinen,diktatorisessa,38
diminutiivinen,diminutiivisessa,38
diploidinen,diploidisessa,38
diplomaattinen,diplomaattisessa,38
disjunktiivinen,disjunktiivisessa,38
diureettinen,diureettisessa,38
dogmaattinen,dogmaattisessa,38
dokumentaarinen,dokumentaarisessa,38
domino,dominossa,2
doorilainen,doorilaisessa,38
draamallinen,draamallisessa,38
dramaattinen,dramaattisessa,38
drastinen,drastisessa,38
dualistinen,dualistisessa,38
dynaaminen,dynaamisessa,38
dynamo,dynamossa,2
edellinen,edellisessä,38
edestakainen,edestakaisessa,38
edistyksellinen,edistyksellisessä,38
edukas,edukkaassa,41
edullinen,edullisessa,38
edusteinen,edusteisessa,38
edustuksellinen,edustuksellisessa,38
eeppinen,eeppisessä,38
eestiläinen,eestiläisessä,38
eettinen,eettisessä,38
efektiivinen,efektiivisessä,38
egoistinen,egoistisessa,38
egosentrinen,egosentrisessä,38
egyptiläinen,egyptiläisessä,38
egyptologinen,egyptologisessa,38
ehdokas,ehdokkaassa,41
ehdollinen,ehdollisessa,38
ehkäisy,ehkäisyssä,2
ehoste,ehosteessa,48
-ehtoinen,-ehtoisessa,38
ehtolainen,ehtolaisessa,38
ehtoollinen,ehtoollisessa,38
eideettinen,eideettisessä,38
eilinen,eilisessä,38
eine,eineessä,48
ekologinen,ekologisessa,38
ekonometrinen,ekonometrisessa,38
ekonominen,ekonomisessa,38
eksentrinen,eksentrisessä,38
ekshibitionistinen,ekshibitionistisessa,38
eksistentiaalinen,eksistentiaalisessa,38
eksistentialistinen,eksistentialistisessa,38
eksklusiivinen,eksklusiivisessa,38
